Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features
NVDA,175.58999633789062,-0.0002846905712341474,0.020152219647727367,89.52049016952515,64.83516483516483,37.2093023255814,76.19047619047619,50.0,39.73546662091972,"RSI_14, Momentum_20, Z_Score_20"
HSBA.L,1181.4000244140625,-0.0013524730227705284,0.027389164634045247,87.66205310821533,57.608695652173914,27.77777777777778,16.129032258064516,20.408163265306122,32.55075871823054,"Momentum_20, Trend_MA50, Return_5d"
REL.L,2430.0,-0.012596505485575005,0.03060575785442724,77.410227060318,71.73913043478261,41.17647058823529,30.434782608695656,35.0,35.79676674364896,"Return_10d, Z_Score_20, RSI_14"
ULVR.L,4528.0,-0.0015435501653803252,0.01466286188031448,62.95080780982971,70.65217391304348,0.0,0.0,0.0,10.551075268817215,"RSI_14, Momentum_20, Volatility_30"
MSFT,373.7799987792969,-0.024073110236822792,0.013650390670679156,58.311015367507935,65.93406593406593,27.27272727272727,56.25,36.734693877551024,21.089455047834605,"Volatility_30, Trend_MA50, Volume_MA_Ratio"
AAPL,252.74000549316406,0.004970376447162472,0.01644083380774943,42.350250482559204,64.83516483516483,33.33333333333333,60.0,42.857142857142854,35.71847157090329,"Trend_MA50, Return_5d, Volatility_30"
AZN.L,13810.0,0.0049483335758986335,0.01536772967374657,41.89940690994263,78.26086956521739,80.0,17.391304347826086,28.57142857142857,17.163412127440907,"Momentum_20, Volatility_30, RSI_14"
TSCO.L,458.5,0.012811989477738983,0.014731264664156777,22.37623482942581,68.47826086956522,37.5,11.11111111111111,17.142857142857142,39.7687790710802,"Trend_MA50, RSI_14, Z_Score_20"
AMZN,207.77000427246094,-0.01127817228548178,0.016590390133249193,20.09367197751999,62.637362637362635,38.88888888888889,53.84615384615385,45.16129032258064,38.72413980598177,"RSI_14, Z_Score_20, Volatility_30"
GOOGL,292.8299865722656,-0.030556879629642708,0.015041625552244219,11.745978891849518,74.72527472527473,61.53846153846154,30.76923076923077,41.02564102564102,39.7123452101326,"Momentum_20, Trend_MA50, Volume_MA_Ratio"
META,595.3922119140625,-0.014349213123801441,0.01629791251916543,10.339082777500153,67.41573033707866,41.66666666666667,65.21739130434783,50.847457627118644,24.278587184586712,"Momentum_20, Return_10d, Return_5d"
SHEL.L,3460.0,0.031450290654345014,0.01372541063823461,6.145030632615089,63.04347826086957,33.33333333333333,9.67741935483871,15.0,78.79448075526507,"Z_Score_20, Return_10d, Volatility_30"
